シャウト(SHOUT),http://www.shout.co.jp/,東京都目黒区上目黒１－１８－２　鈴木ビル１F 
レト アンド シータ(reto＆sheta),,東京都目黒区東山１－９－３ 
アージェガーデン(Agee garden),http://www.agee.co.jp/,東京都渋谷区恵比寿南１-25-1恵比寿プラックスビル2F　 
ワンエイティーディグリース(180°One Eighty Degrees.),http://www.180degrees.jp/,東京都渋谷区恵比寿南１-１０-１１　美矢川ビル３Ｆ 
シマ 代官山店(SHIMA),http://www.shima-hair.com/,東京都渋谷区代官山町２０－２０　モンシェリー代官山２階 
クロエ 中目黒(Cloe nakameguro),,東京都目黒区青葉台２－16－12－1F 
ヘアーサロン セル(Hair Salon CELL),http://www.hairsalon-cell.com,東京都渋谷区恵比寿西１-34-24 
ユーフォリア 渋谷グランデ(Euphoria SHIBUYA GRANDE),http://www.euphoria.jp/ug/,東京都渋谷区宇田川町22-2 西村フルーツパーラー4F 
シー ダイカンヤマ(SHE DAIKANYAMA),http://she-daikanyama.com/,東京都渋谷区恵比寿西１－３３－３　光雲閣１０３ 
恵比寿 リブレ(LIBRE+hp),http://ebisu-libre.com/,東京都渋谷区恵比寿南１-３-９　新井ビル４Ｆ 
リサ(risa.),http://www.hair-set.com/,東京都渋谷区恵比寿西１-１０-６ 恵比寿ツインズ３０１ 
モッズヘア 中目黒店(mod's hair),http://www.modshair.co.jp/salon/detail.php?salon_id=93,東京都目黒区上目黒１－５－１０　中目黒マンション１０９ 
ベック ヘアサロン 恵比寿 代官山(BEKKU hair salon),http://bekku.jp/,東京都渋谷区恵比寿西１-２１-６　ARICAビル ２F＆３Ｆ 
エラ(ELLA),http://www.ella.jp,東京都目黒区中目黒１-3-5 目黒プリンスコーポ202  
ハーティム 代官山 恵比寿(Heartim),http://heartim.jp/,東京都渋谷区恵比寿西２－１４－１０　トゥワオン３F 
ソルトウォーター(SALT WATER),http://salon-rosso.jp/,東京都渋谷区恵比寿西１-４-１　UCHINOビル２Ｆ 
モホーク(MOHAWK),http://mohawk.jp/,東京都目黒区青葉台１-２３-４ グランベル青葉台４F 
リゾーナ(RESONA),http://www.resona-hair.com/,東京都渋谷区猿楽町19-8 B1階 
花やの前の美容室 中目黒,http://hanayanomae.com/,東京都目黒区上目黒１-７-８-２F 
バレッタ(valletta),,東京都目黒区東山１－６－１８ 
エストバイバレッタ (est by valletta),,東京都目黒区上目黒３-6-4 
ワークス ヘアデザイン(WORKS HAIR DESIGN),http://works.blansyst.net/,東京都目黒区上目黒１-14-9 
ラックヘアー(LUCK HAIR),http://www.luck-hair.com/,東京都渋谷区鉢山町14-4 
ミルキーウェイ 恵比寿南店(MILKY WAY),http://www.milkyway-hair.com/,東京都渋谷区恵比寿南２-１-９　朝井ビル１Ｆ 
イディア 中目黒(IDEA nakameguro),http://idea-nakameguro.com/,東京都目黒区東山１-9-8-1F 
クイント(quint:),http://www.neolive.co.jp/,東京都目黒区自由が丘２-17-7　増田ビル3F 
スウィートルーム 代官山(sweet room),,東京都渋谷区恵比寿西２－２１－４ 
ロビー(Lobby),http://heartim.jp/,東京都渋谷区恵比寿西２-18-6代官山ウイング201 
リーピース(Lepes),http://www.lepes-salon.com/#,東京都目黒区上目黒１-3-20中目黒HILLz ２B 
アンテナデザインプラス 中目黒店(ANTEnNA design＋),http://www.antenna-hairresort.jp/,東京都目黒区上目黒１-18-11新サフィールビル１F-A 
キサイトーキョー 中目黒(kisai TOKYO),http://www.kisai.cc/,東京都目黒区上目黒１－１７－１２エモシオン中目黒１F 
フロム(FRMS),http://www.frms-net.com/,東京都目黒区青葉台１-１５-１０　JYフラット２F 
ヘアー＆メイクエクリサンク(Hair&Make e*qu*ri cinq),http://www.equri.jp/salon/cinq/,東京都目黒区目黒２-9-6 
バグ 恵比寿(Bug),http://www.bugpon.com/,東京都渋谷区東３-１５-９　桑原ビル２Ｆ 
ネオリーブオーラ 学芸大学店(Neolive ora),http://www.neolive.co.jp/index.html,東京都目黒区鷹番３－８－１０　大根ビル１・２F 
クーポラ(Cupola),http://www.cupola-hair.com/,東京都渋谷区恵比寿南３-9-3 カントリーハウス１F 
アッシュ 中目黒店(Ash),http://www.ash-hair.com/salondata/detail/224,東京都目黒区上目黒３－３－１４　アサヒ電機朝日生命中目黒ビル１Ｆ・２Ｆ 
ヘアアンドメイク レト(hair&make leto),http://hairmake-leto.com,東京都渋谷区恵比寿１－２０－１７　２F 
リーケ(Liike),http://www.liike.jp/,東京都渋谷区恵比寿西１－３５－５　鶴巻ビル２F 
