ラファミーユ(LA.FAMILLE),http://www.beauty-lafamille.com/,東京都武蔵野市御殿山１－２－２　グレイス御殿山２Ｆ 
リップス 吉祥寺店 (LIPPS),http://lipps.co.jp/,東京都武蔵野市吉祥寺南町１-18-1 D-ASSET吉祥寺2F 
スィートメロディバイリトルファンタジー(Sweet Melody by Little Fantasy),,東京都武蔵野市吉祥寺南町２－１２－１２メゾン吉祥寺１F 
ペィジバイネオリーブ(Paige by Neolive),http://www.neolive.co.jp/,東京都武蔵野市吉祥寺本町２-26-10　テル吉祥寺ビル2F 
マリオ ヘアー デザイン(MARIO HAIR DESIGN),,東京都武蔵野市御殿山１－６－８　ムサシヤビルＢ１Ｆ 
アンク クロス 吉祥寺店,http://www.ankhcross.com/,東京都武蔵野市吉祥寺南町１-2-2　東山ビル3F 
モードケイズ ライズ 吉祥寺店(MODE K's RISE),,東京都武蔵野市吉祥寺本町２－１２－６　GRANICOビル２Ｆ 
ソーエン 吉祥寺店(soen),http://www.soen-hair.net/ ,東京都武蔵野市吉祥寺本町１-２０-１５　クレッセントビル２０１ 
デセオ(Deseo),http://www.co-mirrorball.com/,東京都武蔵野市吉祥寺本町１－１３－３タケモトビル５Ｆ 
ミエルヘアーアンドスパ(miel hair&spa),http://www.hair-miel.co.jp/,東京都武蔵野市吉祥寺本町１－１３－１０　アミノビルB１ 
パパスアンドママス 吉祥寺店(P&M PAPA'S&MAMA'S),http://www.p-and-m.co.jp,東京都武蔵野市吉祥寺本町１-8-10第85東京ビル2階 
ニコ 吉祥寺(nico...),,東京都武蔵野市吉祥寺南町２－４－３ 劇団前進座ビル１F　 
コロ(COLO),,東京都武蔵野市吉祥寺本町１－９－１０ファミリープラザ5階 
リコ(Lico),,東京都武蔵野市吉祥寺本町１－１８－１　吉祥寺ニュープラザビル８Ｆ 
ヴァニル 吉祥寺(vanir),http://www.vanir-hair.com/,東京都武蔵野市吉祥寺南町１-1-2　アンドウビル　シンコ　３Ｆ 
ヘアープライズ 吉祥寺店 (hair Pride's),http://www.dash-hairsalon.com/,東京都武蔵野市吉祥寺本町１-13-9　小谷ビル4階 
リノ バイ ユーレルム 吉祥寺(Lino by U REALM),http://u-realm.com/lino/,東京都武蔵野市吉祥寺本町３－８－１１－３０３ 
メイリー(Meiry),http://salon-meiry.her.jp,東京都武蔵野市吉祥寺本町１-10-5　吉祥寺公園通りビル７Ｆ 
ブラウン (BROWN),,東京都武蔵野市吉祥寺南町１－６－３　東急インB１ 
ヘアー サロン バロール 吉祥寺店(Hair Salon Valor),http://www.valor-hair.com,東京都武蔵野市吉祥寺南町１-5-12松井ビル4F 
そらへ,,東京都武蔵野市吉祥寺本町１－１３－９山本ビル５Ｆ 
エイチエムヘアー 吉祥寺店(H M hair),http://hmhair.jp/,東京都武蔵野市吉祥寺南町１－１－９ＦＳビル６Ｆ 
ティアラ,,東京都武蔵野市吉祥寺本町１-18-1吉祥寺ニュープラザ５階 
フロリタ 吉祥寺(florita),,東京都武蔵野市吉祥寺本町２－７－５　yamadaエスペランス1F－A 
アマンヘアー(Aman hair), http://aman-hair.com,東京都武蔵野市吉祥寺南町１‐１１‐３  いづみビル　２F B 
ヘアー フローレス 吉祥寺店(hair flores),http://ursushairflores.com/,東京都武蔵野市吉祥寺本町１－１８－３　サニーシティ吉祥寺ビル301 
ヘアメイク カン プラスエフ(HAIR MAKE KANN+f),http://www.kann-hair.com,東京都武蔵野市吉祥寺本町２-4-1長田ビル2F 
